Month,Day,Hour,DateTime,EnergyProd,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC System Output (W),,,
1,11,18,1119918,0,0,0,0,0,0,0,0,0,,,
1,11,19,1119919,0,0,0,0,0,0,0,0,0,,,
1,11,20,1119920,0,0,0,0,0,0,0,0,0,,,
1,11,21,1119921,0,0,0,0,0,0,0,0,0,,,
1,11,22,1119922,0,0,0,0,0,0,0,0,0,,,
1,11,23,1119923,0,0,0,0,0,0,0,0,0,,,
1,12,0,112990,0,0,0,0,0,0,0,0,0,,,
1,12,1,112991,0,0,0,0,0,0,0,0,0,,,
1,12,2,112992,0,0,0,0,0,0,0,0,0,,,
1,12,3,112993,0,0,0,0,0,0,0,0,0,,,
1,12,4,112994,0,0,0,1,0,0,1,0,0,,,
1,12,5,112995,0,0,0,1,0,0,1,0,0,,,
1,12,6,112996,0,0,0,2,0,0,2,0,0,,,
1,12,7,112997,0,0,0,2,0,0,2,0,0,,,
1,12,8,112998,0.577218,0,14,2,0,13.25,-1.965,577.218,337.115,,,
1,12,9,112999,1.35726,0,33,2,0,31.281,-1,1357.26,1102.505,,,
1,12,10,1129910,2.445503,0,60,3,0,56.969,1.542,2445.503,2169.466,,,
1,12,11,1129911,7.614499,11,175,3,0,182.766,8.413,7614.499,7224.016,,,
1,12,12,1129912,8.96196,23,200,4,0,218.94,12.398,8961.96,8538.016,,,
1,12,13,1129913,6.08648,0,150,5,0,147.622,10.878,6086.48,5732.127,,,
1,12,14,1129914,3.543876,0,88,4,0,84.238,6.257,3543.876,3245.368,,,
1,12,15,1129915,3.34293,0,81,3,0,78.675,3.943,3342.93,3048.607,,,
1,12,16,1129916,1.427442,0,35,3,0,33.209,1.232,1427.442,1171.344,,,
1,12,17,1129917,0,0,0,2,0,0,2,0,0,,,
1,12,18,1129918,0,0,0,2,0,0,2,0,0,,,
1,12,19,1129919,0,0,0,1,0,0,1,0,0,,,
1,12,20,1129920,0,0,0,1,0,0,1,0,0,,,
1,12,21,1129921,0,0,0,0,0,0,0,0,0,,,
1,12,22,1129922,0,0,0,0,0,0,0,0,0,,,
1,12,23,1129923,0,0,0,0,0,0,0,0,0,,,
1,13,0,113990,0,0,0,0,0,0,0,0,0,,,
1,13,1,113991,0,0,0,0,0,0,0,0,0,,,
1,13,2,113992,0,0,0,-1,0,0,-1,0,0,,,
1,13,3,113993,0,0,0,-1,0,0,-1,0,0,,,
1,13,4,113994,0,0,0,-1,0,0,-1,0,0,,,
1,13,5,113995,0,0,0,-1,0,0,-1,0,0,,,
1,13,6,113996,0,0,0,0,0,0,0,0,0,,,
1,13,7,113997,0,0,0,0,0,0,0,0,0,,,
1,13,8,113998,1.163361,0,28,0,0,26.545,-3.406,1163.361,912.295,,,
1,13,9,113999,0.664587,0,16,0,0,15.151,-3.621,664.587,422.868,,,
1,13,10,1139910,6.879124,13,154,1,0,162.706,4.889,6879.124,6506.27,,,
1,13,11,1139911,4.282377,0,105,1,0,100.886,4.179,4282.377,3968.199,,,
1,13,12,1139912,4.333664,0,106,1,0,101.725,3.33,4333.664,4018.38,,,
1,13,13,1139913,2.814055,0,69,1,0,65.555,1.542,2814.055,2530.59,,,
1,13,14,1139914,2.702319,0,66,1,0,62.684,0.531,2702.319,2421.117,,,
1,13,15,1139915,4.600954,1,107,0,0,107.394,1.957,4600.954,4279.876,,,
1,13,16,1139916,0.660662,0,16,0,0,15.146,-2.269,660.662,419.016,,,
1,13,17,1139917,0,0,0,0,0,0,0,0,0,,,
1,13,18,1139918,0,0,0,-1,0,0,-1,0,0,,,
1,13,19,1139919,0,0,0,-1,0,0,-1,0,0,,,
1,13,20,1139920,0,0,0,-2,0,0,-2,0,0,,,
1,13,21,1139921,0,0,0,-2,0,0,-2,0,0,,,
1,13,22,1139922,0,0,0,-2,0,0,-2,0,0,,,
1,13,23,1139923,0,0,0,-3,0,0,-3,0,0,,,
1,14,0,114990,0,0,0,-3,0,0,-3,0,0,,,
1,14,1,114991,0,0,0,-3,0,0,-3,0,0,,,
1,14,2,114992,0,0,0,-3,0,0,-3,0,0,,,
1,14,3,114993,0,0,0,-3,0,0,-3,0,0,,,
1,14,4,114994,0,0,0,-3,0,0,-3,0,0,,,
1,14,5,114995,0,0,0,-3,0,0,-3,0,0,,,
1,14,6,114996,0,0,0,-3,0,0,-3,0,0,,,
1,14,7,114997,0,0,0,-2,0,0,-2,0,0,,,
1,14,8,114998,7.964037,384,59,0,0,207.701,5.827,7964.037,7565.018,,,
1,14,9,114999,17.343191,613,102,0,0,448.495,17.533,17343.191,16677.43,,,
1,14,10,1149910,24.330525,723,129,1,0,643.745,27.054,24330.525,23418.801,,,
1,14,11,1149911,11.379849,68,218,2,0,284.358,17.222,11379.849,10892.1,,,
1,14,12,1149912,10.041502,31,210,3,0,246.637,13.591,10041.502,9589.667,,,
1,14,13,1149913,10.385271,45,209,4,0,256.289,14.544,10385.271,9924.352,,,
1,14,14,1149914,12.006595,132,188,3,0,298.47,15.292,12006.595,11501.518,,,
1,14,15,1149915,10.736693,241,121,2,0,269.397,13.622,10736.693,10266.388,,,
1,14,16,1149916,3.264405,44,59,0,0,78.875,3.763,3264.405,2971.709,,,
1,14,17,1149917,0,0,0,0,0,0,0,0,0,,,
1,14,18,1149918,0,0,0,0,0,0,0,0,0,,,
1,14,19,1149919,0,0,0,-1,0,0,-1,0,0,,,
1,14,20,1149920,0,0,0,-2,0,0,-2,0,0,,,
1,14,21,1149921,0,0,0,-3,0,0,-3,0,0,,,
1,14,22,1149922,0,0,0,-3,0,0,-3,0,0,,,
1,14,23,1149923,0,0,0,-4,0,0,-4,0,0,,,
1,15,0,115990,0,0,0,-4,0,0,-4,0,0,,,
1,15,1,115991,0,0,0,-4,0,0,-4,0,0,,,
1,15,2,115992,0,0,0,-4,0,0,-4,0,0,,,
1,15,3,115993,0,0,0,-4,0,0,-4,0,0,,,
1,15,4,115994,0,0,0,-4,0,0,-4,0,0,,,
1,15,5,115995,0,0,0,-5,0,0,-5,0,0,,,
1,15,6,115996,0,0,0,-4,0,0,-4,0,0,,,
1,15,7,115997,0,0,0,-3,0,0,-3,0,0,,,
1,15,8,115998,8.693366,500,44,-1,0,230.691,5.866,8693.366,8276.211,,,
1,15,9,115999,8.779419,140,126,0,0,214.47,8.82,8779.419,8360.095,,,
1,15,10,1159910,15.639718,275,181,2,0,393.888,17.506,15639.718,15027.805,,,
1,15,11,1159911,16.719965,231,225,3,0,426.068,21.115,16719.965,16074.182,,,
1,15,12,1159912,9.978969,31,211,4,0,247.663,15.912,9978.969,9528.775,,,
1,15,13,1159913,15.760061,187,230,4,0,399.207,19.922,15760.061,15144.422,,,
1,15,14,1159914,10.28976,84,186,3,0,255.101,14.988,10289.76,9831.374,,,
1,15,15,1159915,7.969721,96,128,1,0,194.251,9.306,7969.721,7570.562,,,
1,15,16,1159916,8.522957,460,49,0,0,226.854,8.968,8522.957,8110.08,,,
1,15,17,1159917,0,0,0,0,0,0,0,0,0,,,
1,15,18,1159918,0,0,0,-1,0,0,-1,0,0,,,
1,15,19,1159919,0,0,0,-1,0,0,-1,0,0,,,
1,15,20,1159920,0,0,0,-1,0,0,-1,0,0,,,
1,15,21,1159921,0,0,0,-1,0,0,-1,0,0,,,
1,15,22,1159922,0,0,0,-1,0,0,-1,0,0,,,
1,15,23,1159923,0,0,0,-2,0,0,-2,0,0,,,
1,16,0,116990,0,0,0,-2,0,0,-2,0,0,,,
1,16,1,116991,0,0,0,-2,0,0,-2,0,0,,,
1,16,2,116992,0,0,0,-3,0,0,-3,0,0,,,
1,16,3,116993,0,0,0,-3,0,0,-3,0,0,,,
1,16,4,116994,0,0,0,-3,0,0,-3,0,0,,,
1,16,5,116995,0,0,0,-3,0,0,-3,0,0,,,
1,16,6,116996,0,0,0,-4,0,0,-4,0,0,,,
1,16,7,116997,0,0,0,-3,0,0,-3,0,0,,,
1,16,8,116998,9.458601,601,37,-1,0,254.784,6.924,9458.601,9021.944,,,
1,16,9,116999,18.793438,800,55,0,0,493.538,19.536,18793.438,18079.941,,,
1,16,10,1169910,16.374581,330,171,2,0,418.875,20.704,16374.581,15739.732,,,
