Date/Time,Net,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) ,
 01/04  20:00:00,5.442169618,1.418602793,1.590762385,0,1.430960431,0,0.024830665,0.024830665,0.024830665,0.302393901,0.054328133,0.074792186,0.495837794,0.455890115,
 01/04  21:00:00,5.289071691,1.335681999,1.550952627,0,1.441750539,0,0.0250179,0.0250179,0.0250179,0.260599634,0.046819369,0.065329786,0.512884037,0.414501273,
 01/04  22:00:00,5.323844689,1.220008589,1.645660585,0,1.55947472,0,0.027060702,0.027060702,0.027060702,0.218805337,0.039310599,0.058492662,0.500910091,0.364899198,
 01/04  23:00:00,5.633459193,1.010195269,1.954493988,0,1.892185508,0,0.032834049,0.032834049,0.032834049,0.164718628,0.029593373,0.05029679,0.43347349,0.28874894,
 01/04  24:00:00,5.902986509,0.805650813,2.238833119,0,2.190780792,0,0.038015407,0.038015407,0.038015407,0.113090389,0.020317836,0.043586942,0.376680397,0.203429842,
 01/05  01:00:00,5.67525918,0.578249517,2.297822796,0,2.261627621,0,0.039244773,0.039244773,0.039244773,0.05900368,0.01060061,0.038648574,0.311572063,0.108649816,
 01/05  02:00:00,5.601578672,0.479266362,2.336545106,0,2.302046678,0,0.039946143,0.039946143,0.039946143,0.034418826,0.006183691,0.036403781,0.286875799,0.064908122,
 01/05  03:00:00,5.672381737,0.453113279,2.388121167,0,2.361256083,0,0.040973571,0.040973571,0.040973571,0.024584869,0.004416921,0.034419002,0.283549703,0.054639213,
 01/05  04:00:00,5.754206091,0.452667399,2.430622432,0,2.40403157,0,0.04171583,0.04171583,0.04171583,0.024584869,0.004416921,0.033177023,0.279558387,0.058684369,
 01/05  05:00:00,5.720132357,0.477338156,2.410325858,0,2.377055715,0,0.041247733,0.041247733,0.041247733,0.024584869,0.004416921,0.033669607,0.268998032,0.093890994,
 01/05  06:00:00,5.840236859,0.669204121,2.364032348,0,2.32123594,0,0.040279123,0.040279123,0.040279123,0.024584869,0.004416921,0.035745107,0.300180184,0.253467916,
 01/05  07:00:00,6.089423248,1.054008181,2.270482217,0,2.194882458,0,0.038086581,0.038086581,0.038086581,0.05654521,0.010158921,0.042257835,0.346828683,0.549600951,
 01/05  08:00:00,7.405296788,1.244631025,2.789776109,0,2.675702979,0,0.046429994,0.046429994,0.046429994,0.11554889,0.020759531,0.051056811,0.368531461,0.616774338,
